,ADX,SMA,RSI,MACD,MACD_Hist,MACD_Signal,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
242,25.8318,39.6590,32.1870,-0.2931,-0.6346,0.3414,38.2500,38.3800,35.5000,36.3100,1.1492,6939300,0.0000,1.0000
243,28.2500,39.4960,40.7243,-0.4134,-0.6039,0.1905,36.6900,37.9400,36.2500,37.7500,1.1948,4180600,0.0000,1.0000
244,28.3791,39.1650,38.6232,-0.5476,-0.5904,0.0429,37.9400,39.0600,37.0600,37.1900,1.1771,6260300,0.0000,1.0000
245,29.3796,38.9830,44.9362,-0.5571,-0.4800,-0.0771,36.8800,38.6900,36.0000,38.3100,1.2125,5032400,0.0000,1.0000
246,28.5866,38.8580,51.4725,-0.4530,-0.3007,-0.1523,38.7500,39.7500,38.5600,39.6300,1.2543,5046400,0.0000,1.0000
247,29.1826,38.5080,43.1150,-0.5210,-0.2949,-0.2260,39.1300,39.1300,37.0000,37.6900,1.1929,3829500,0.0000,1.0000
248,29.7191,38.2450,46.2160,-0.5188,-0.2342,-0.2846,38.8800,38.8800,37.8800,38.3100,1.2125,2680600,0.0000,1.0000
249,30.9241,38.0260,40.9723,-0.6157,-0.2649,-0.3508,38.1300,38.6900,36.9400,37.0000,1.1711,2643400,0.0000,1.0000
250,32.8970,37.6070,37.3755,-0.7644,-0.3309,-0.4335,37.5600,37.8800,35.5600,36.0000,1.1394,4465800,0.0000,1.0000
251,34.6726,37.5380,43.8885,-0.7773,-0.2750,-0.5023,36.2500,37.6900,36.1900,37.1900,1.1771,3229400,0.0000,1.0000
252,34.1658,37.7510,49.9623,-0.6788,-0.1412,-0.5376,37.3800,38.8800,37.2500,38.4400,1.2166,2666700,0.0000,1.0000
253,32.6537,37.8200,49.9623,-0.5939,-0.0450,-0.5488,38.5600,39.5600,37.9400,38.4400,1.2166,2876600,0.0000,1.0000
254,31.8545,37.8450,45.1368,-0.6003,-0.0412,-0.5591,38.8100,39.0000,37.3800,37.4400,1.1850,1899600,0.0000,1.0000
255,31.9493,37.7080,42.8382,-0.6385,-0.0635,-0.5750,37.3100,37.6900,36.5000,36.9400,1.1692,2362500,0.0000,1.0000
256,33.4751,37.2260,34.5179,-0.8310,-0.2048,-0.6262,36.5000,37.0000,34.5000,34.8100,1.1017,5957600,0.0000,1.0000
